iris_id,iris_sepal_length,iris_sepal_width,iris_petal_length,iris_petal_width,iris_variety,sepal_area
1.0,5.1,3.5,1.4,0.2,Setosa,17.849999999999998
2.0,4.9,3.0,1.4,0.2,Setosa,14.700000000000001
3.0,4.7,3.2,1.3,0.2,Setosa,15.040000000000001
4.0,4.6,3.1,1.5,0.2,Setosa,14.26
5.0,5.0,3.6,1.4,0.2,Setosa,18.0
6.0,5.4,3.9,1.7,0.4,Setosa,21.060000000000002
7.0,4.6,3.4,1.4,0.3,Setosa,15.639999999999999
8.0,5.0,3.4,1.5,0.2,Setosa,17.0
9.0,4.4,2.9,1.4,0.2,Setosa,12.76
10.0,4.9,3.1,1.5,0.1,Setosa,15.190000000000001
11.0,5.4,3.7,1.5,0.2,Setosa,19.980000000000004
12.0,4.8,3.4,1.6,0.2,Setosa,16.32
13.0,4.8,3.0,1.4,0.1,Setosa,14.399999999999999
14.0,4.3,3.0,1.1,0.1,Setosa,12.899999999999999
15.0,5.8,4.0,1.2,0.2,Setosa,23.2
16.0,5.7,4.4,1.5,0.4,Setosa,25.080000000000002
17.0,5.4,3.9,1.3,0.4,Setosa,21.060000000000002
18.0,5.1,3.5,1.4,0.3,Setosa,17.849999999999998
19.0,5.7,3.8,1.7,0.3,Setosa,21.66
20.0,5.1,3.8,1.5,0.3,Setosa,19.38
21.0,5.4,3.4,1.7,0.2,Setosa,18.36
22.0,5.1,3.7,1.5,0.4,Setosa,18.87
23.0,4.6,3.6,1.0,0.2,Setosa,16.56
24.0,5.1,3.3,1.7,0.5,Setosa,16.83
25.0,4.8,3.4,1.9,0.2,Setosa,16.32
26.0,5.0,3.0,1.6,0.2,Setosa,15.0
27.0,5.0,3.4,1.6,0.4,Setosa,17.0
28.0,5.2,3.5,1.5,0.2,Setosa,18.2
29.0,5.2,3.4,1.4,0.2,Setosa,17.68
30.0,4.7,3.2,1.6,0.2,Setosa,15.040000000000001
31.0,4.8,3.1,1.6,0.2,Setosa,14.879999999999999
32.0,5.4,3.4,1.5,0.4,Setosa,18.36
33.0,5.2,4.1,1.5,0.1,Setosa,21.32
34.0,5.5,4.2,1.4,0.2,Setosa,23.1
35.0,4.9,3.1,1.5,0.2,Setosa,15.190000000000001
36.0,5.0,3.2,1.2,0.2,Setosa,16.0
37.0,5.5,3.5,1.3,0.2,Setosa,19.25
38.0,4.9,3.6,1.4,0.1,Setosa,17.64
39.0,4.4,3.0,1.3,0.2,Setosa,13.200000000000001
40.0,5.1,3.4,1.5,0.2,Setosa,17.34
41.0,5.0,3.5,1.3,0.3,Setosa,17.5
42.0,4.5,2.3,1.3,0.3,Setosa,10.35
43.0,4.4,3.2,1.3,0.2,Setosa,14.080000000000002
44.0,5.0,3.5,1.6,0.6,Setosa,17.5
45.0,5.1,3.8,1.9,0.4,Setosa,19.38
46.0,4.8,3.0,1.4,0.3,Setosa,14.399999999999999
47.0,5.1,3.8,1.6,0.2,Setosa,19.38
48.0,4.6,3.2,1.4,0.2,Setosa,14.719999999999999
49.0,5.3,3.7,1.5,0.2,Setosa,19.61
50.0,5.0,3.3,1.4,0.2,Setosa,16.5
51.0,7.0,3.2,4.7,1.4,Versicolor,22.400000000000002
52.0,6.4,3.2,4.5,1.5,Versicolor,20.480000000000004
53.0,6.9,3.1,4.9,1.5,Versicolor,21.39
54.0,5.5,2.3,4.0,1.3,Versicolor,12.649999999999999
